carname,car_date_release
Volkswagen Gol,1980
Volkswagen Polo,2002
Volkswagen Golf,1993
Volkswagen Jetta,2007
Volkswagen Passat,1973
Volkswagen Beetle,1938
Volkswagen Tiguan,2007
Volkswagen Touareg,2002
Volkswagen Amarok,2010
Volkswagen Scirocco,1974
Volkswagen Up!,2011
Volkswagen Arteon,2017
Volkswagen T-Roc,2017
Volkswagen ID.3,2020
Volkswagen ID.4,2020
Volkswagen Karmann-Ghia,1955
Volkswagen Type 2 (Kombi),1950
Volkswagen CC,2008
Volkswagen Phaeton,2002
Volkswagen Fox,2003
Volkswagen Type 3,1961
Volkswagen Santana,1981
Volkswagen Corrado,1988
Volkswagen Eos,2006
Volkswagen Atlas,2017
Volkswagen Type 4,1968
Volkswagen Lupo,1998
Volkswagen Brasília,1973
Volkswagen SP2,1972
Volkswagen Derby,1977
Volkswagen Caddy,1980
Volkswagen Quantum,1981
Volkswagen L80,1951
Volkswagen XL1,2013
Volkswagen Bora,1998
Volkswagen Routan,2008
Volkswagen CrossFox,2005
Volkswagen Polo Sedan,2002
Volkswagen 1600 TL,1967
Volkswagen 411,1968
Volkswagen I.D. Buzz,2022
